img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,release_year
/games/boxart/full_dead-space-2_998AmericaFront.jpg,Dead Space 2,PS3,Shooter,Electronic Arts,Visceral Games,9.0,1.43,0.73,,0.49,0.21,2011-01-25,,2011
/games/boxart/5452545ccc.jpg,Wwe Smackdown Vs Raw 2008,X360,Fighting,Thq,Yuke's Media Creations,7.3,1.43,0.92,0.0,0.38,0.13,2007-11-13,,2007
/games/boxart/7299647ccc.jpg,Smarty Pants,WII,Misc,Electronic Arts,EA Los Angeles,6.5,1.43,0.52,,0.75,0.16,2007-11-13,,2007
/games/boxart/full_kinect-joy-ride_230AmericaFront.jpg,Kinect Joy Ride,X360,Racing,Microsoft Game Studios,Big Park,5.6,1.43,0.92,0.0,0.39,0.12,2010-11-04,,2010
/games/boxart/full_3572522AmericaFrontccc.jpg,Triple Play 2000,PS,Sports,Ea Sports,Treyarch,,1.43,0.79,,0.54,0.09,1999-02-28,,1999
/games/boxart/full_92244AmericaFrontccc.jpg,Hasbro Family Game Night,WII,Misc,Electronic Arts,EA Bright Light,,1.43,0.96,,0.34,0.13,2008-11-11,,2008
/games/boxart/1647813ccc.jpg,Classic Nes Series: Super Mario Bros.,GBA,Platform,Nintendo,Nintendo,,1.43,,1.39,,0.03,2004-06-02,,2004
/games/boxart/full_5179035AmericaFrontccc.jpg,Frogger 2: Swampy'S Revenge,PS,Action,Hasbro Interactive,Blitz Games,,1.43,0.8,,0.54,0.09,2000-10-10,,2000
/games/boxart/full_388041AmericaFrontccc.jpg,Middle-Earth: Shadow Of Mordor,XONE,Action,Warner Bros. Interactive Entertainment,Monolith Productions,,1.42,0.77,0.01,0.52,0.12,2014-09-30,2018-05-04,2014
/games/boxart/full_9728369AmericaFrontccc.jpg,Injustice: Gods Among Us,X360,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios,,1.42,0.97,,0.31,0.14,2013-04-16,2018-04-22,2013
/games/boxart/full_1840498AmericaFrontccc.jpg,Lego Batman 2: Dc Super Heroes,WII,Action-Adventure,Warner Bros. Interactive Entertainment,Traveller's Tales,,1.42,0.9,,0.4,0.12,2012-06-26,2018-03-15,2012
/games/boxart/full_3563703AmericaFrontccc.jpg,Medal Of Honor: Warfighter,PS3,Shooter,Electronic Arts,Danger Close Games,,1.42,0.49,0.06,0.64,0.23,2012-10-23,2018-01-13,2012
/games/boxart/full_3106619AmericaFrontccc.jpg,Ufc Undisputed 2010,PS3,Fighting,Thq,Yuke's Future Media Creators,8.4,1.42,0.8,0.02,0.4,0.19,2010-05-25,,2010
/games/boxart/full_6967302AmericaFrontccc.jpg,Rayman Raving Rabbids,WII,Misc,Ubisoft,Ubisoft Montpellier,7.5,1.42,1.22,0.02,0.07,0.11,2006-11-14,,2006
/games/boxart/full_6032874AmericaFrontccc.jpg,Tiger Woods Pga Tour 09 All-Play,WII,Sports,Ea Sports,EA Tiburon,,1.42,0.8,,0.48,0.14,2008-08-26,,2008
/games/boxart/full_1295732AmericaFrontccc.jpg,Nba Live 06 (Weekly American Sales),PS2,Sports,Ea Sports,EA Canada,,1.42,1.35,,0.05,0.02,2005-09-26,,2005
/games/boxart/full_3303090AmericaFrontccc.jpg,R.B.I. Baseball 2,NES,Sports,Tengen,Namco,,1.42,0.12,1.3,,,1990-01-01,,1990
/games/boxart/6243817ccc.jpg,Nfl Street,PS2,Sports,Ea Sports Big,EA Tiburon,,1.42,1.15,,0.08,0.19,2004-01-13,,2004
/games/boxart/337682ccc.jpg,Cabela'S Big Game Hunter,PS2,Sports,Activision,Sand Grain Studios,,1.42,0.7,,0.54,0.18,2002-11-26,,2002
/games/boxart/3018787ccc.jpg,Twisted Metal: Black,PS2,Racing,Sony Computer Entertainment,Incognito Inc.,8.9,1.41,1.19,,0.17,0.05,2001-06-18,,2001
/games/boxart/442847ccc.jpg,Lego Star Wars Ii: The Original Trilogy,PSP,Action,Lucasarts,Traveller's Tales,8.4,1.41,0.58,,0.51,0.32,2006-09-12,,2006
/games/boxart/full_1021105AmericaFrontccc.jpg,Lego Star Wars: The Video Game,GC,Action,Eidos Interactive,Traveller's Tales,7.9,1.41,1.09,,0.28,0.04,2005-10-25,,2005
/games/boxart/full_5869279AmericaFrontccc.jpg,Lego Indiana Jones 2: The Adventure Continues,WII,Adventure,Lucasarts,Traveller's Tales,7.5,1.41,0.9,,0.38,0.13,2009-11-17,,2009
/games/boxart/full_4033640AmericaFrontccc.jpg,Hello Kitty Party,DS,Misc,Majesco,Barnstorm Games,,1.41,0.78,,0.51,0.13,2009-11-23,,2009
/games/boxart/full_530321AmericaFrontccc.jpg,Nascar 2005: Chase For The Cup,PS2,Racing,Ea Sports,EA Tiburon,,1.41,0.69,,0.54,0.18,2004-08-31,,2004
/games/boxart/4081081ccc.jpg,The Lion King,GEN,Action,Virgin Interactive,Westwood Studios,,1.41,0.97,0.03,0.37,0.05,1994-12-08,,1994
/games/boxart/full_4134357AmericaFrontccc.jpg,Knockout Kings 2000,PS,Fighting,Ea Sports,EA Sports,,1.41,1.02,,0.34,0.05,1999-10-31,,1999
/games/boxart/full_809683AmericaFrontccc.jpg,Dead Space,X360,Shooter,Electronic Arts,EA Redwood Shores,8.9,1.4,0.89,,0.39,0.13,2008-10-13,,2008
/games/boxart/full_anno-2070_524PALFront.jpg,Anno 2070,PC,Strategy,Ubisoft,Blue Byte Studio,8.7,1.4,,,1.14,0.26,2011-11-17,,2011
/games/boxart/full_fight-night-round-4_9AmericaFront.jpg,Fight Night Round 4,X360,Fighting,Ea Sports,EA Canada,8.7,1.4,0.95,,0.33,0.13,2009-06-23,,2009
