genre,region,regional_sales,genre_total,regional_share,overall_region_share,over_index,demand_component,over_index_component,regional_opportunity_score
Misc,PAL,143.84,548.58,0.26220423639213970615,0.29029679845913523515,0.90322813680306540331,66.67,0.00,33.33
Misc,Japan,54.93,548.58,0.10013124794925079296,0.10341386474968530567,0.96825747873962420594,0.00,33.33,16.67
Mmo,Japan,1.35,9.46,0.14270613107822410148,0.10341386474968530567,1.37995162857172267545,33.33,100.00,66.67
Mmo,PAL,2.95,9.46,0.31183932346723044397,0.29029679845913523515,1.07420862070281400866,66.67,33.33,50.00
Mmo,North America,4.12,9.46,0.43551797040169133192,0.50708555135963116308,0.85886487838975470389,100.00,0.00,50.00
Mmo,Other,1.04,9.46,0.10993657505285412262,0.09853041539651485509,1.11576282927903618445,0.00,66.67,33.33
Music,Japan,5.84,51.99,0.11232929409501827274,0.10341386474968530567,1.08621116101707336330,33.33,100.00,66.67
Music,PAL,15.14,51.99,0.29120984804770148105,0.29029679845913523515,1.00314522789576949089,66.67,66.67,66.67
Music,North America,26.05,51.99,0.50105789574918253510,0.50708555135963116308,0.98811313871143265482,100.00,33.33,66.67
Music,Other,4.97,51.99,0.09559530678976726294,0.09853041539651485509,0.97021114145377478396,0.00,0.00,0.00
Party,Japan,1.19,6.21,0.19162640901771336554,0.10341386474968530567,1.85300500548497773563,33.33,100.00,66.67
Party,PAL,1.81,6.21,0.29146537842190016103,0.29029679845913523515,1.00402546624340201124,66.67,66.67,66.67
Party,North America,2.67,6.21,0.42995169082125603865,0.50708555135963116308,0.84788787546488212959,100.00,0.00,50.00
Party,Other,0.52,6.21,0.08373590982286634461,0.09853041539651485509,0.84984833856519181204,0.00,33.33,16.67
Platform,North America,190.12,352.19,0.53982225503279479826,0.50708555135963116308,1.06455854162160177932,100.00,100.00,100.00
Platform,PAL,100.28,352.19,0.28473267270507396576,0.29029679845913523515,0.98083297582475913758,66.67,66.67,66.67
Platform,Other,30.72,352.19,0.08722564524830347256,0.09853041539651485509,0.88526618808296177659,0.00,33.33,16.67
Platform,Japan,30.78,352.19,0.08739600783667906528,0.10341386474968530567,0.84510919351309724987,33.33,0.00,16.67
Puzzle,Japan,28.71,127.27,0.22558340535868625756,0.10341386474968530567,2.18136519609545605749,66.67,100.00,83.33
Puzzle,North America,64.77,127.27,0.50891804824389094052,0.50708555135963116308,1.00361378248570949449,100.00,66.67,83.33
Puzzle,PAL,25.86,127.27,0.20319006835860768445,0.29029679845913523515,0.69993906042753182331,33.33,33.33,33.33
Puzzle,Other,7.43,127.27,0.05837982242476624499,0.09853041539651485509,0.59250559525024810612,0.00,0.00,0.00
Racing,PAL,178.27,522.71,0.34104953033230663274,0.29029679845913523515,1.17483049121644310694,66.67,100.00,83.33
Racing,North America,269.18,522.71,0.51497005988023952096,0.50708555135963116308,1.01554867516825887580,100.00,33.33,66.67
Racing,Other,55.23,522.71,0.10566088270742859329,0.09853041539651485509,1.07236818481094064088,33.33,66.67,50.00
Racing,Japan,19.82,522.71,0.03791777467429358535,0.10341386474968530567,0.36666045472794276665,0.00,0.00,0.00
Role-Playing,Japan,130.39,426.02,0.30606544293695131684,0.10341386474968530567,2.95961710431949301616,66.67,100.00,83.33
Role-Playing,North America,171.12,426.02,0.40167128303835500681,0.50708555135963116308,0.79211738918880161277,100.00,33.33,66.67
Role-Playing,Other,33.75,426.02,0.07922163278719308953,0.09853041539651485509,0.80403226220433917379,0.00,66.67,33.33
Role-Playing,PAL,90.93,426.02,0.21344068353598422609,0.29029679845913523515,0.73524987071474726981,33.33,0.00,16.67
Sandbox,PAL,1.05,3.36,0.31250000000000000000,0.29029679845913523515,1.07648448642464200446,66.67,66.67,66.67
Sandbox,Japan,0.90,3.36,0.26785714285714285714,0.10341386474968530567,2.59014730283501914873,33.33,100.00,66.67
Sandbox,North America,1.19,3.36,0.35416666666666666667,0.50708555135963116308,0.69843572887661990029,100.00,33.33,66.67
Sandbox,Other,0.21,3.36,0.06250000000000000000,0.09853041539651485509,0.63432189693387513852,0.00,0.00,0.00
Shooter,PAL,325.40,996.76,0.32645772302259320197,0.29029679845913523515,1.12456535778346966811,66.67,100.00,83.33
Shooter,North America,529.50,996.76,0.53122115654721297002,0.50708555135963116308,1.04759671247360101940,100.00,33.33,66.67
Shooter,Other,108.57,996.76,0.10892291022914242145,0.09853041539651485509,1.10547499257772500971,33.33,66.67,50.00
Shooter,Japan,33.20,996.76,0.03330791765319635619,0.10341386474968530567,0.32208367547058252744,0.00,0.00,0.00
Simulation,North America,152.72,300.22,0.50869362467523815868,0.50708555135963116308,1.00317120712924145356,100.00,66.67,83.33
Simulation,Japan,35.93,300.22,0.11967890213843181667,0.10341386474968530567,1.15728101283243073500,33.33,100.00,66.67
Simulation,PAL,86.66,300.22,0.28865498634334821131,0.29029679845913523515,0.99434436712874000246,66.67,33.33,50.00
Simulation,Other,24.32,300.22,0.08100726134168276597,0.09853041539651485509,0.82215487487479013356,0.00,0.00,0.00
Sports,North America,610.12,1188.81,0.51321910145439557204,0.50708555135963116308,1.01209569091116623350,100.00,66.67,83.33
Sports,Other,128.58,1188.81,0.10815857874681404093,0.09853041539651485509,1.09771767744561590579,33.33,100.00,66.67
Sports,PAL,342.26,1188.81,0.28790134672487613664,0.29029679845913523515,0.99174826678429144424,66.67,33.33,50.00
Sports,Japan,107.18,1188.81,0.09015738427503133385,0.10341386474968530567,0.87181138131969570307,0.00,0.00,0.00
Strategy,Japan,36.83,118.43,0.31098539221481043654,0.10341386474968530567,3.00719243950078543941,66.67,100.00,83.33
Strategy,North America,47.09,118.43,0.39761884657603647724,0.50708555135963116308,0.78412576637199511898,100.00,33.33,66.67
Strategy,PAL,27.08,118.43,0.22865827915224183062,0.29029679845913523515,0.78767068863981911289,33.33,66.67,50.00
Strategy,Other,7.31,118.43,0.06172422528075656506,0.09853041539651485509,0.62644844266981369756,0.00,0.00,0.00
Visual Novel,Japan,4.90,5.61,0.87344028520499108734,0.10341386474968530567,8.44606559593498816892,100.00,100.00,100.00
Visual Novel,Other,0.13,5.61,0.02317290552584670232,0.09853041539651485509,0.23518530224999292126,33.33,66.67,50.00
Visual Novel,North America,0.50,5.61,0.08912655971479500891,0.50708555135963116308,0.17576237279059324322,66.67,33.33,50.00
Visual Novel,PAL,0.05,5.61,0.00891265597147950089,0.29029679845913523515,0.03070187483564041367,0.00,0.00,0.00
